decimalLongitude,decimalLatitude,eventDate,scientificName,scientificNameID,AphiaID,occurrenceStatus
-5.70009,56.24024,2019-06-17,Axinella infundibuliformis,urn:lsid:marinespecies.org:taxname:132480,132480,1
-5.26569,51.69739,2019-06-17,Axinella infundibuliformis,urn:lsid:marinespecies.org:taxname:132480,132480,0
-5.2689,51.7018,2019-06-17,Axinella infundibuliformis,urn:lsid:marinespecies.org:taxname:132480,132480,0
-44.165,-24.347,2019-06-17,Pachastrella monilifera,urn:lsid:marinespecies.org:taxname:134078,134078,1
-23.5333,14.8833,1986-08-22,Pheronema,urn:lsid:marinespecies.org:taxname:132098,132098,0
-24.6333,14.95,1986-08-24,Pheronema,urn:lsid:marinespecies.org:taxname:132098,132098,1
9.61616,67.539,2019-06-17,Thenea levis,urn:lsid:marinespecies.org:taxname:134105,134105,0
10.343,67.85716,2019-06-17,Thenea levis,urn:lsid:marinespecies.org:taxname:134105,134105,0
9.5205,67.31833,2019-06-17,Thenea levis,urn:lsid:marinespecies.org:taxname:134105,134105,1
-5.73876,57.11223,2019-06-17,Axinella infundibuliformis,urn:lsid:marinespecies.org:taxname:132480,132480,0
